Date,RMV.L,AHT.L,EXPN.L,RTO.L,ABF.L,STJ.L,BATS.L,PRU.L,GVC.L,SMIN.L,CPG.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,SLA.L,RB.L,TSCO.L,RR.L,ANTO.L
03/01/2008,47.625,80.75,402.75,118.9000015,873,273.0409851,1974,714.5,98.5,1005,341.1690063,950.9229736,1657,497,194.1390076,1253,312.5830078,2828.600098,468,537,717
04/01/2008,45.59999847,79.75,395.25,117,831.5,256.0069885,1959,685.5,101,1007,338.6830139,928.8460083,1635,479,193.7220001,1202,301.5830078,2783.639893,456,528,688
07/01/2008,44.29999924,77.5,392.25,112.9000015,834,258.9689941,1969,689.5,101,1015,333.7099915,899.2310181,1668,480,196.1199951,1126,297.6109924,2808.070068,445.5,511,668.5
08/01/2008,45.29999924,76,396.5,114.5999985,826.5,248.6009979,1968,671,104.5,1010,338.9590149,910,1667,492,199.7689972,1133,292.1109924,2779.72998,442,516.5,672
09/01/2008,42.5,73,372.75,107.9000015,789.5,240.2070007,2007,687.5,105,1014,337.3009949,888.4619751,1659,507,196.1199951,1113,282.3330078,2775.820068,418.75,528,645
10/01/2008,42.875,72,361.75,106,801,235.022995,2049,673,105,1005,324.5939941,910,1679,493.5,196.7449951,1100,275,2687.850098,416.25,525,644.5
11/01/2008,42.79999924,72.5,359.75,106.8000031,794,237.7380066,1985,675,105,1006,326.5280151,911.6149902,1613,489,194.2429962,1089,275.9169922,2596.959961,426,514,651.5
14/01/2008,41.54999924,74,366,109.1999969,797.5,239.9600067,1945,695,105,1030,332.605011,936.9229736,1596,488,190.802002,1100,288.1390076,2543.199951,420,512.5,665
15/01/2008,39.97499847,71,375,105.6999969,766,233.7879944,1871,670,105,996.5,330.394989,938.5380249,1571,482,189.3430023,1078,278.9719849,2494.330078,407,500,632.5
16/01/2008,37.5,69.75,362.75,103.9000015,775,226.8760071,1895,642,105,1030,340.3399963,917.5380249,1537,484,187.8829956,1070,278.3609924,2582.290039,417.75,485.25,589.5
17/01/2008,37.82500076,71,360,106.5999985,838,245.6380005,1882,633.5,111,1022,345.5889893,911.0770264,1523,478.25,187.673996,1079,276.2219849,2603.800049,423,480.75,583.5
18/01/2008,39,73,372.75,108.4000015,831,239.4660034,1891,596.5,121.5,1031,349.4559937,930.4619751,1523,473.25,186.1100006,1019,258.8059998,2603.800049,424.75,479.25,602.5
21/01/2008,36.82500076,68,363.75,104.8000031,806.5,216.2599945,1832,573.5,112.5,1005,335.3680115,887.9229736,1464,456,177.6649933,933,248.7220001,2477.709961,410.5,448.5,578
22/01/2008,38.54999924,69.5,377.5,107.4000015,844.5,237.4909973,1802,618.5,110.5,1013,344.2080078,944.4619751,1486,474,180.3760071,1022,269.5,2525.600098,426.5,465.5,601.5
23/01/2008,39.79999924,69.5,388.5,104,824.5,240.9470062,1708,626,110.5,986,337.5780029,919.6920166,1430,459.5,172.1390076,982,275.3059998,2391.699951,412.25,452.5,582.5
24/01/2008,42,76,411.25,109.5999985,860.5,306.1220093,1738,655,117.5,1007,365.7550049,971.9229736,1472,458,178.8119965,1106,286.3059998,2512.899902,430,455.5,632.5
25/01/2008,41.5,76,399,108.0999985,867.5,273.5350037,1759,639,116.5,993,354.4289856,968.1539917,1502,468,182.7740021,1113,277.1390076,2541.23999,420.75,471.25,652
28/01/2008,41.47499847,74,399.5,107.0999985,853.5,259.7099915,1742,635,123,985.5,356.3630066,968.1539917,1509,473.25,179.3329926,1102,275.6109924,2484.550049,415,464.5,627.5
29/01/2008,42.84999847,77,409,109.3000031,885.5,265.8819885,1773,654,127,1000,358.29599,986.4619751,1522,472.75,181.2100067,1143,278.6669922,2506.060059,421.25,482,669.5
30/01/2008,43.52500153,79.75,432.5,107.1999969,874,259.9570007,1770,640.5,126,980.5,346.9700012,980.5380249,1522,480,184.4420013,1116,273.7780151,2490.419922,410.75,477,656
31/01/2008,43.59999847,78.75,440.25,108.3000031,866.5,252.5500031,1795,640.5,127.5,997.5,349.1799927,967.6149902,1528,465,182.7740021,1086,263.3890076,2560.790039,417,471.25,652.5
01/02/2008,42.67499924,81.5,444,111.6999969,876.5,258.9689941,1814,656,128.5,999.5,364.0979919,992.3850098,1560,481.5,189.0299988,1114,276.2219849,2588.159912,416.75,486.25,700
04/02/2008,43.09999847,83.25,438.75,111.0999985,880.5,258.4750061,1802,659,132,975.5,360.506012,1009.609985,1560,480.25,185.4850006,1103,277.75,2541.23999,408.75,490.25,710
05/02/2008,43,79.5,416,106.8000031,848,241.4409943,1794,627,136,968,344.2080078,968.1539917,1514,467.75,181.0010071,1025,263.0830078,2472.830078,396.5,467,675.5
06/02/2008,43.59999847,77.25,422.5,108.3000031,856.5,239.9600067,1823,624,131,975,350.0090027,953.0770264,1528,470,181.6269989,1017,261.25,2581.320068,399.25,480,674
07/02/2008,43.57500076,76.5,418.25,106.5,824.5,230.3320007,1808,591,131,959.5,346.6940002,966.5380249,1503,461.75,177.2480011,987.5,248.1109924,2547.110107,386.75,431,680
08/02/2008,43.34999847,76.75,423.5,106.8000031,830,223.4199982,1857,606,142.5,947.5,360.7829895,960.0770264,1531,457,181.7310028,999,251.1670074,2548.090088,389,412,722.5
11/02/2008,43.82500076,75.25,417.5,105.4000015,810.5,221.197998,1854,583,141,933.5,365.2030029,955.2310181,1523,450.25,178.2910004,975,242,2554.929932,387.5,408,727
12/02/2008,44.90000153,78.75,435.5,109.9000015,834,238.7259979,1853,615,140,966.5,367.6889954,994,1596,468.5,185.276001,1003,254.5279999,2595,406,417,760
13/02/2008,46.59999847,79,453.75,110.1999969,843.5,237.7380066,1850,608,136.5,965,361.0589905,997.2310181,1590,459,182.0440063,1007,253.3059998,2661.459961,400,422.25,764
14/02/2008,48.95000076,80.25,445.5,110.9000015,850.5,250.5749969,1834,590,131,980,363.2690125,1033.849976,1563,460.5,181.3139954,969,257.5830078,2737.699951,403.25,429.25,772
15/02/2008,48.29999924,79.25,443,107.8000031,841,243.6629944,1811,593,133.5,966,355.8099976,1033.849976,1529,457,178.1860046,930.5,251.1670074,2741.610107,400.5,416.75,758
18/02/2008,50.09999847,81.75,455,109.6999969,861,250.0820007,1844,622,135,985,361.8880005,1033.849976,1569,463.75,181.2100067,974,258.1940002,2784.620117,408,430.5,785
19/02/2008,50.54999924,83.75,453.75,109.5,861.5,260.696991,1825,623.5,141,988,366.8599854,1034.390015,1550,461.75,177.1439972,957.5,255.4440002,2712.290039,415,428.5,826
20/02/2008,49.52500153,82.25,440.25,107.8000031,861,256.5,1860,616.5,141,997,373.2139893,1051.609985,1535,472,168.9069977,941.5,256.3609924,2714.23999,408.75,436,828.5
21/02/2008,50.79999924,81.5,439.25,108,872.5,266.1279907,1858,624,137.5,993.5,369.0700073,1045.150024,1504,478,170.8880005,931.5,261.5559998,2768.97998,407.25,441.75,845
22/02/2008,50.09999847,79.75,425,106,876.5,265.6350098,1874,610,137.5,992.5,358.572998,1023.080017,1492,478,169.4279938,918.5,255.1390076,2704.469971,400.25,447,820
25/02/2008,51,80,443.25,108.6999969,850.5,271.5599976,1874,628,139,1001,370.4509888,1060.77002,1491,486.5,172.1390076,909.5,269.1940002,2701.540039,403.5,445,800
26/02/2008,54,80.75,446.75,107.3000031,847,283.9030151,1913,646,139,1010,366.8599854,1055.390015,1471,497.75,175.1629944,949,285.6940002,2689.810059,409.25,454,821
27/02/2008,52.75,80.75,442,105,865.5,283.6560059,1939,643.5,140,1008,370.4509888,1061.849976,1500,499.25,171.201004,977,278.0559998,2715.219971,406.75,446.5,833.5
28/02/2008,52.90000153,77,425.5,80.5,854.5,274.2749939,1916,628.5,142.5,990,362.4400024,1041.390015,1477,488.5,168.2810059,940.5,273.1669922,2722.060059,401,436.5,840
29/02/2008,50.20000076,76.5,426,83.40000153,848.5,262.9190063,1895,610.5,149.5,993.5,360.7829895,1012.309998,1477,482.75,169.6369934,958.5,267.6669922,2668.310059,400.5,434.5,812.5
03/03/2008,50.09999847,74,415.25,82.59999847,825,255.2660065,1895,601,148.5,999.5,367.1359863,1008,1437,487.75,166.8220062,926.5,256.9719849,2639.959961,393,440.25,818.5
04/03/2008,50.09999847,73.75,418,83.40000153,817.5,256.993988,1906,602.5,145.5,993.5,375.4240112,1012.309998,1426,490.25,164.2149963,962.5,253.9170074,2596.959961,388.25,431,813.5
05/03/2008,50,76,420,85,825.5,260.20401,1848,643.5,147.5,998,385.92099,1027.920044,1424,490.5,166.8220062,1006,264,2609.659912,391.75,435.75,837
06/03/2008,50.5,74.25,408.75,83.5,824.5,248.6009979,1840,621.5,147.5,980,367.6889954,1027.390015,1438,482.25,163.1719971,957.5,255.75,2612.590088,403,429,830
07/03/2008,48.90000153,71.5,407.5,82.90000153,819,250.8220062,1823,626,147.5,971.5,370.7279968,1099.540039,1405,490.5,160.8789978,903.5,253.6109924,2571.540039,405.75,425.5,786.5
10/03/2008,48.875,66.25,405,81.09999847,839.5,239.2189941,1875,622.5,146.5,961,353.6000061,1023.609985,1399,481.75,157.8549957,861.5,253.6109924,2551.02002,410.5,409,728
11/03/2008,47.82500076,68.25,412.25,79.5,847,246.1320038,1902,639.5,147.5,966.5,350.8380127,1032.77002,1425,490.25,160.8789978,870,267.3609924,2602.820068,403,412.5,724
12/03/2008,49.40000153,69.75,400,77.59999847,848,258.7219849,1933,659,152.5,966,348.0750122,1071,1420,488.5,160.3569946,874,301.8890076,2630.189941,400,418,760
13/03/2008,49.75,67.5,386.75,77,851.5,243.1690063,1958,654,150,956.5,348.0750122,1085.540039,1456,484,158.3760071,856,293.9440002,2629.209961,393.75,407.75,754
14/03/2008,49.25,65,380,77,854,236.996994,1916,622,156,950,338.6830139,1064.540039,1469,486.75,156.2910004,855,286.6109924,2606.72998,380.25,408.5,750
17/03/2008,47.25,61.5,358,71.59999847,839.5,222.1849976,1858,588,158.5,923.5,341.4450073,1048.920044,1421,465.7999878,155.1439972,826.5,281.1109924,2549.060059,364.25,393.25,687
18/03/2008,47.70000076,62.5,360.25,72.69999695,851.5,227.6159973,1900,625,164,947,355.5339966,1074.77002,1478,476.75,159.522995,866,296.0830078,2618.459961,373.5,406.5,700.5
19/03/2008,47.04999924,54.25,381.75,72.80000305,865.5,230.5789948,1879,634,161,940,345.5889893,1093.079956,1455,478.25,154.9360046,854.5,289.6669922,2664.399902,375.75,408.25,666.5
20/03/2008,46.79999924,52.5,367.5,85.5,869,219.9629974,1880,635,161,913,341.7210083,1083.390015,1412,471,155.6649933,849.5,286.9169922,2721.090088,389.5,394.5,622
25/03/2008,48.72499847,59.5,381,91,888.5,244.8970032,1822,661.5,167.5,944,345.5889893,1072.609985,1446,485.5,158.3760071,916.5,308.6109924,2700.560059,394.5,413,638
26/03/2008,49.47499847,60.5,379.25,87.5,885,248.3540039,1775,653,171,931,343.1029968,1083.390015,1420,479.75,160.1490021,927.5,298.5280151,2696.649902,391.25,407.25,651.5
27/03/2008,50,64,375,96,889.5,261.9320068,1842,662,169.5,940.5,355.2579956,1117.849976,1410,484.75,164.1109924,953.5,304.3330078,2678.080078,392.75,409,657.5
28/03/2008,49.90000153,62.5,364.5,97.5,879,256.7470093,1858,672.5,169.5,940.5,359.125,1103.849976,1417,484.75,163.6940002,950,299.1390076,2671.23999,390.25,404,675.5
31/03/2008,48.92499924,62,367,97.25,875,255.7599945,1891,665.5,169.5,940,356.0859985,1106,1404,485.25,157.3339996,938,300.9719849,2727.929932,379,403,701
01/04/2008,49.79999924,63.75,383,99,904,270.8190002,1922,687.5,167.5,960,370.1749878,1129.689941,1432,493,160.8789978,983,315.3330078,2809.050049,405.25,420,690.5
02/04/2008,49.5,63.5,379.5,99.25,895,280.9410095,1891,703,166.5,967,370.1749878,1130.77002,1421,504.5,165.1529999,1030,322.6669922,2759.199951,407.75,430.75,705
03/04/2008,49.29999924,62,366.25,96.25,890,266.868988,1885,680,168,955,364.6499939,1117.849976,1420,501,167.2389984,1000,314.7219849,2758.22998,403.75,433,719.5
