Date,FRPH,GAIA,GCBC,HUBG,FITB,FONR,HA,CALM,HSIC,FCCY,FORD,HSKA,FWRD,FBNC,FMBI,GIFI,GILT,FNLC,FLIC,HIBB,EBAY,HBAN,FMBH,HELE,GSBC,FCAP,FLEX,EMCF,HDSN,HTLF
01/11/1999,23.25,6.875,9.62,18.5,73.56,0.84,2.313,3.875,12.38,18,2.688,1.75,27.5,20,40.63,9.938,57.5,18,33.13,15.94,137,29.63,35,9.063,22.06,11.38,70.75,15,2.5,19
02/11/1999,23.25,6.625,9.5,16.5,71,0.81,2.188,3.875,12.19,18,2.938,1.625,28.06,20,40.63,10.25,55.94,18.25,33.13,15.88,131.3,29.56,35,9.344,22.06,11.38,68.88,15,2.438,19.25
03/11/1999,23.25,6.625,9,17,70.06,0.78,2.25,3.781,13.38,18,2.688,1.813,29.25,19.5,41.06,10.44,59.63,18.25,33,16.06,127.1,29.63,35,9.094,22.06,11.38,70.13,15,2.375,19
04/11/1999,23.87,6.563,9,17,71.38,0.81,2.188,3.75,14,18,2.875,1.625,29.06,19,41,10.44,59.25,18.25,33.25,16,130,29.75,35,9.063,22.06,11.38,70.75,15,2.25,19
05/11/1999,23.87,6.563,9,14.69,72.19,0.84,2.063,3.563,14,18,2.938,1.875,28.88,19,41.19,10,63,18.5,33.25,15.5,133.3,30.5,35,9.25,22,11.38,74.81,15,2.188,19
08/11/1999,24.25,6.563,9,15,72.09,0.87,2.125,3.5,13,18,2.75,1.75,29.31,19,41.13,10.06,63.25,18.5,33.13,15.19,137,29.38,35,9.5,22,11.38,74.13,15.75,2.188,19
09/11/1999,24.25,6.5,9.12,15.75,70.13,0.97,2.063,3.688,13.63,18,2.875,1.75,30,19,41.5,10.13,60,18.5,33.25,15,134.9,29.44,35,9.438,21.5,11.38,75.75,15.75,2.125,19.25
10/11/1999,23.75,6.5,9.12,15.62,70.81,1,2.125,3.625,13.06,18,3.094,1.688,29.63,19,41.5,9.75,59.88,18.5,33.25,14.25,133.3,29.19,35.5,9.875,21.5,11.38,80,15.75,2.125,19.25
11/11/1999,22.5,6.625,9.12,15.62,69.69,1,2.188,3.75,12.69,18,3.063,1.875,29.25,19,41.63,9.563,63,18.5,33.25,14.19,133.1,29.19,35.5,9.969,21.5,11.38,78.06,15.12,2.125,18.87
12/11/1999,22,6.5,9.12,15.75,71.94,0.97,2.188,3.75,12.86,18,3.063,1.813,29.5,19,41.44,9.625,64.81,18.5,33.25,14.13,136.9,29.75,35.5,10.25,21.5,11.38,78.31,15.5,2.375,18.87
15/11/1999,21.75,6.438,9,16.12,73.88,1,2.375,3.813,13.06,18,3,1.875,30.13,19,42.25,10.13,72.31,18,32,13.63,140.7,29.31,35.5,10.31,21.75,11.38,78.25,15.5,2,18.87
16/11/1999,22.5,6.5,9,16.62,74.94,0.94,2.5,4,14.06,18,3,1.75,31.13,18.88,42.25,10.5,85.94,18,32.38,13.81,146.3,29.56,35.5,10.5,21.75,11.38,80.19,15.5,2.25,19
17/11/1999,21.88,6.5,9,17.5,73.75,0.97,2.438,3.844,14.56,18,3,2,33.75,19.25,42.5,11.5,82.25,18,32.25,13.75,141.1,29.56,35.5,10.56,21.75,11.38,79.38,15.5,2.313,19
18/11/1999,22,6.5,9.12,17.62,73.31,1,2.438,3.875,13.81,18,2.875,2.438,34.13,19.25,43.81,11.5,79.88,18,32.25,13.13,152.3,29.63,35.5,10.5,21.63,11.38,83,15.12,2.313,19
19/11/1999,24.94,7.063,9.12,17,73.31,1.25,2.5,3.813,14.06,18,2.625,2.5,33.44,18.25,43.31,10.75,83.38,17.75,32.25,15.25,145.9,29.19,35.5,10.13,21.5,11.38,81.25,15.12,2.063,19
22/11/1999,24.94,7.25,9.5,16.25,71.25,3,2.438,3.938,13.81,17.5,2.75,2.813,33.63,18.88,41.75,10.38,84.13,17.5,32.25,14.56,154.3,28.5,35.5,10.25,21.5,11.25,79.56,15.12,2.156,19
23/11/1999,23,8.5,9.5,17.25,70.13,2.5,2.375,3.688,13.19,17.5,2.969,2.75,32.56,18.25,41.38,9.625,81.5,17.5,32.25,14.75,167.3,27.88,35,10,21.63,11.25,85.38,15.12,1.875,19
24/11/1999,22.25,9.875,9.5,17.25,69.5,2.12,2.313,3.375,13.25,18,2.969,2.375,33,18,41.69,9.875,80.75,17.5,32.25,13.75,179.5,27.69,35,9.938,21.5,11.25,84.81,15.12,2,19
26/11/1999,22.25,10.88,9.5,17.38,69.19,2.5,2.25,3.406,13.56,18,2.875,2.5,33.06,18,41.5,10,84.63,17.5,32.25,13.75,177.2,27.5,35,10.88,21.5,11.38,84.56,15.12,1.938,19
29/11/1999,22.25,15.63,9.5,18.25,68.25,2.31,2.188,3.375,13.19,18,3,2.188,31.38,17.75,41.63,9.5,80.25,17.25,33,13.38,169.6,27,35,10.56,21.5,11.38,85.13,15.12,1.938,19
30/11/1999,22.25,14,9.25,17.38,70,2.03,2.188,3.438,12.81,18,2.938,2.063,31.13,17.88,42,9.25,76.94,17.25,32,13,165.1,27.69,35,10.56,21.5,11.5,82.94,15.12,1.938,19
01/12/1999,23.94,13.13,9.25,17.38,67.75,1.75,2.063,3.5,12.81,18,2.938,2.063,31.38,19,43,9.313,79.13,17.25,32,12.81,160,27.19,35,10.06,21.5,11.5,83.31,15.12,1.688,19
02/12/1999,23.06,13.75,9.25,17.62,68.63,2.09,2.188,3.328,12.75,18,2.625,2.5,30.13,18.25,43.13,9.281,81.5,17.25,31.81,12.75,167.1,26.94,35,9.813,21.5,11.5,88,15.75,2,19
03/12/1999,23.06,14,9.25,17.94,71.75,2.22,2.125,3.188,12.69,18,2.875,2.375,32.25,18.25,43.38,8.75,86.31,17.25,31.63,14.13,178.8,28.31,35,9.375,21.72,11.5,88.44,15.12,1.875,19
06/12/1999,23.06,14,9.12,18.5,69.19,2.06,2.188,3.125,12.44,18,2.625,2.375,33,17,42.94,8.438,94,17.5,30.75,15.19,176.5,26.72,35,9.625,21.63,11.5,89.63,15.87,1.75,19
07/12/1999,23.06,15,9.12,20,67.19,2,2.125,3.063,12.13,18,2.75,2.25,34.88,18,41.38,8.344,97.5,17.5,30.38,16.94,163.8,25.5,35,9.563,21.75,11.5,89.88,15.88,1.688,18.87
08/12/1999,23.06,15.5,9.12,19.62,65.31,2.12,2.125,3.25,11.88,18,2.906,2.25,34.63,18,40.06,8.438,100.25,17.5,30.38,16.5,162.4,25.06,34.5,9.563,21.69,11.5,90.38,15.88,1.75,18.87
09/12/1999,23.06,17,9.12,18,65.84,2.03,2,3.031,12.06,18,3.188,2.5,33.5,18.5,38.88,8.375,104.5,17.5,30.5,16.94,160.6,24,34.5,9.25,21.75,11.5,88.63,15.87,1.875,18.87
10/12/1999,23,16.88,9.12,19,64.63,2,2.063,3,11.88,18,3.25,2.375,33.25,19,38.38,8.438,108.75,17.44,30.38,16.5,164.4,24.69,34.5,9.563,21.75,11.5,90,15.88,1.625,18.5
13/12/1999,24.94,16.88,9.12,17,65.81,1.91,2.125,2.813,11.88,17.81,3.375,2.375,33.75,17.75,39,8.313,109.5,16.81,30.56,16.44,162.1,24.06,34.5,9.313,21.81,11.31,92.38,15.88,1.625,18.75
14/12/1999,23.12,17,9.12,18.25,66.31,1.75,2.188,2.938,11.69,17.81,3.125,2.438,35.38,17.75,39.25,8.094,102.75,16.81,30.38,15.88,150.6,23.56,34.5,9.5,21.81,11.13,85,15.88,1.75,18.25
