Date,AB,ABM,ABT,ADM,AEG,AEM,AFG,AFL,AIG,AIN,AIR,AIT,AJG,ALK,ALX,AME,AON,AVY,AWR,BAC,BAM,BBVA,BCE,BDN,BEN,BIG,BIO,BTI,CAJ,CAL,CDE,CLX,COP
01/11/1999,28.75,23.69,40.31,11.9,89.94,8.12,28.81,49.06,100.3,15.19,16.31,16,51.31,39,73.31,20,34.63,60.94,34.88,64.87,13.06,13.44,62.5,16.94,34.25,17.25,24.5,13.38,29,18.0625,4.188,42.88,46.63
02/11/1999,31.44,23.69,38,12.15,89.94,7.88,29.38,50.5,99.25,16,17.44,16.38,51.5,39.19,73.31,20.06,34.19,60.94,35.69,64.25,13.25,13.56,58.75,16.88,33.38,17.94,24.44,13,28.69,17.75,4.188,41.81,46.56
03/11/1999,31,23.69,36.81,11.89,90.38,7.62,29.31,51.19,101.6,16.19,17.19,16.38,52.5,40.25,73,20.06,34.31,61.69,35.75,63,13.31,13.5,61.44,17.06,32.13,18.13,24.25,13.69,28.75,17.9375,4.125,40.81,46.25
04/11/1999,32.31,23.63,37.88,11.7,90.31,7.56,29.25,52.13,102.1,15.94,17.13,16.44,53.06,40,73.31,20.19,35.88,61.13,35.75,63.5,13.25,13.56,63.06,17.13,32.81,18.44,24.12,13.19,28.75,17.625,4.063,40.56,45.63
05/11/1999,32.63,23.69,38.44,11.64,90.5,7.25,30,52.31,105.4,15.81,17.81,16.88,55.5,40.44,73.31,20.25,40,62.81,37.88,65.06,13.31,13.69,63.06,17.13,33.13,18.13,24.25,13.31,29.13,17.4375,4.188,40.25,45.13
08/11/1999,31.75,23.31,38.88,11.83,90.81,7.19,29.88,52.63,107.6,14.94,17.19,16.63,56,40.06,73.31,20.06,39.56,62.75,37.5,66,12.75,13.94,62.13,17.19,31.63,18.88,24.25,13.06,29.5,17,4.125,40.31,47.13
09/11/1999,31.69,23.38,37,11.7,90.56,7.44,29.19,52,107.3,15.69,17.19,16.81,54.88,39.63,73.5,20.13,38.31,61.56,37.06,63.94,12.75,13.81,61.13,17.38,32,18.5,24.75,13.63,28.62,16.8125,4.188,43.12,47.94
10/11/1999,31.19,23.13,37,11.95,90.56,7.88,28.75,51.38,106.6,15.44,17.25,16.94,54.63,39,73.63,20.13,38.5,61.13,36.19,64,12.56,13.81,62.06,17.38,30.94,18.88,24.62,13.44,29.25,16.8125,4.313,45.94,48.69
11/11/1999,30.44,22.94,36.5,12.07,89.63,7.62,28.44,51.5,105.9,15.44,16.63,16.63,54.88,39,73.5,19.75,37.63,62.31,36.5,63,13,13.88,66.25,17.44,30.81,18.94,24,13.38,29,16.8125,4.125,45.12,49.06
12/11/1999,32.19,22.94,36.44,12.63,89,7.38,28.75,51.63,105.8,16.12,17.25,16.63,55.19,39.31,73.5,20.13,38.69,62.44,36.06,66.5,13,13.69,66.5,17.44,33,19.38,23.88,13.06,28.75,16.5625,4.188,45.06,49.5
15/11/1999,31.63,22.63,36.63,12.63,89.5,7.44,28.44,52.69,104.2,16.56,16.44,16.75,54,39,73.25,20.13,38.94,62.63,35.63,65.75,13,13.56,67.31,17.44,32.63,20.56,23.88,12.75,28.5,16.5625,4.438,45.38,49.75
16/11/1999,32.94,22.5,37.94,13.01,91,7.38,28.63,54,109.8,16.75,16.94,17,55.5,39.25,73.25,19.94,39.81,62,35,67.5,12.87,13.88,67.5,17.5,33.69,20.13,23.81,12.19,29.13,17.5625,4.188,47.31,50.88
17/11/1999,32.38,21.44,37.31,14.07,91.25,7.44,28.38,53,110.3,16.75,17.63,16.88,54.5,38.25,73.25,20.06,38.5,62,35,66.56,12.94,13.88,66.38,17.25,32.88,20.25,23.75,11.5,29.37,16.75,4.188,49,51.38
18/11/1999,32.25,21.94,38,13.69,89.94,7.5,28.06,52.88,111.6,17.13,17.69,16.88,54.63,38.06,73.31,20.25,38,63.19,35.19,65.37,12.62,13.75,68.5,16.88,32.81,21.44,24.12,11.19,30.38,16.5,4.063,47.19,50.06
19/11/1999,32.13,21.5,37.5,13.69,90.63,7.56,28.13,51.94,109.6,17,17.69,17.31,53.88,37.25,73.31,20.13,37,61.75,34.31,65.12,12.37,13.63,69.81,17,33.63,20.38,24.38,11.44,30.81,15.6875,4.063,45,49.94
22/11/1999,31.31,21.44,38.88,13.32,91.19,7.44,27.63,50.44,108.9,16.56,17.19,17.37,54.56,37.56,73.31,19.5,37,60.69,36.5,64.25,12.12,13.5,71.69,16.69,33.44,19.69,24,11.88,31.25,15.25,4,44.25,48.94
23/11/1999,31.06,21.44,38,12.82,90.75,7.81,27.56,49.88,105.5,16.56,17.19,17.25,55.75,38.88,73.38,19.63,38.19,60.25,37.38,62.63,12,13.56,72.56,16.44,32.94,18.94,23.75,12.38,31.44,14.5,4.188,44.69,48
24/11/1999,30.81,21.31,38.5,12.88,91.44,8,27.5,49.44,106.1,16.63,16.88,17,53.63,38.06,73.13,19.25,38.19,59.75,37.19,60,12.37,13.88,73.63,16.31,33.75,18.88,24.12,12,31.75,14.5,4.25,45,47.94
